Log file produced by: Storyboard Pro (StoryboardPro.exe) version 17.10.1 build 15476 2020-01-31 14:58:30
﻿2020-09-22 22:19:55;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:55;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:55;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:55;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:55;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:19:57;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:00;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:01;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:01;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:01;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:01;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:01;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:28;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:28;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:28;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:28;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:28;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:29;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:30;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:30;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:30;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:30;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:30;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:31;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:31;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:31;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:31;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:31;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:33;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:33;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:33;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:33;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:34;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:34;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:34;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:34;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:34;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:34;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:34;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:34;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:34;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:34;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:34;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:34;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:34;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:34;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:34;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:34;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:35;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:35;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:35;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:35;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:35;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:35;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:35;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:35;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:35;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:35;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:35;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:35;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:35;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:35;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:35;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:35;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:35;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:35;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:35;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:35;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:36;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:36;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:36;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:36;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:36;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:36;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:36;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:36;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:36;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-22 22:20:36;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-22 22:20:36;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-22 22:20:36;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-22 22:20:37;ACTION;begin accum Create Layer (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:37;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:39;ACTION;begin accum Eraser Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:39;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:40;ACTION;begin accum Eraser Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:41;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:42;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:42;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:42;ACTION;begin accum Brush Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:42;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:42;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:42;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-22 22:20:47;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-22 22:20:47;ACTION;end accum (CO_CommandManager.cpp,325)
