Log file produced by: Storyboard Pro (StoryboardPro.exe) version 17.10.1 build 15476 2020-01-31 14:58:30
﻿2020-09-27 13:59:36;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:37;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:37;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:37;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:37;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:37;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:37;ACTION;Start execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:37;ACTION;End execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:37;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:38;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:38;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:38;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:38;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:38;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:39;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:39;ACTION;Start execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:39;ACTION;End execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:39;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:40;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:40;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:40;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:40;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:40;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:41;ACTION;begin accum Drawing Tool (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:41;ACTION;begin accum  (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:41;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:42;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:42;ACTION;Start execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:42;ACTION;End execute Brush Tool  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:42;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:42;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:42;ACTION;Start execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:42;ACTION;End execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:42;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:48;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:48;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:49;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:49;ACTION;Start execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:49;ACTION;End execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:49;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:51;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:51;ACTION;end accum (CO_CommandManager.cpp,325)
﻿2020-09-27 13:59:51;ACTION;Start unexecute depth 1 (CO_CommandManager.cpp,580)
﻿  2020-09-27 13:59:51;ACTION;Start execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿  2020-09-27 13:59:51;ACTION;End execute Create Drawing  (class CO_Command * __ptr64) (CO_CommandManager.cpp,594)
﻿2020-09-27 13:59:51;ACTION;End unexecute depth 1 (CO_CommandManager.cpp,580)
﻿2020-09-27 13:59:53;ACTION;begin accum Create Drawing (CO_CommandManager.cpp,241)
﻿2020-09-27 13:59:53;ACTION;end accum (CO_CommandManager.cpp,325)
